id_nota,filial,cidade,tipo_cliente,genero,linha_produto,preco_unitario,quantidade,imposto,total_venda,cogs,lucro_bruto,data_venda,hora_venda,metodo_pagamento,avaliacao
101-17-6199,A,Yangon,Normal,Male,"Food and beverages",45.79,7,16.03,336.56,320.53,16.03,2019-03-13,19:44:00,"Credit card",7.0
101-81-4070,C,Naypyitaw,Member,Female,"Health and beauty",62.82,2,6.28,131.92,125.64,6.28,2019-01-17,12:36:00,Ewallet,4.9
102-06-2002,C,Naypyitaw,Member,Male,"Sports and travel",25.25,5,6.31,132.56,126.25,6.31,2019-03-20,17:52:00,Cash,6.1
102-77-2261,C,Naypyitaw,Member,Male,"Health and beauty",65.31,7,22.86,480.03,457.17,22.86,2019-03-05,18:02:00,"Credit card",4.2
105-10-6182,A,Yangon,Member,Male,"Fashion accessories",21.48,2,2.15,45.11,42.96,2.15,2019-02-27,12:22:00,Ewallet,6.6
105-31-1824,A,Yangon,Member,Male,"Sports and travel",69.52,7,24.33,510.97,486.64,24.33,2019-02-01,15:10:00,"Credit card",8.5
106-35-6779,A,Yangon,Member,Male,"Home and lifestyle",44.34,2,4.43,93.11,88.68,4.43,2019-03-27,11:26:00,Cash,5.8
109-28-2512,B,Mandalay,Member,Female,"Fashion accessories",97.61,6,29.28,614.94,585.66,29.28,2019-01-07,15:01:00,Ewallet,9.9
109-86-4363,B,Mandalay,Member,Female,"Sports and travel",60.08,7,21.03,441.59,420.56,21.03,2019-02-14,11:36:00,"Credit card",4.5
110-05-6330,C,Naypyitaw,Normal,Female,"Food and beverages",39.43,6,11.83,248.41,236.58,11.83,2019-03-25,20:18:00,"Credit card",9.4
110-48-7033,B,Mandalay,Member,Male,"Fashion accessories",32.62,4,6.52,137.00,130.48,6.52,2019-01-29,14:12:00,Cash,9.0
114-35-5271,B,Mandalay,Normal,Female,"Electronic accessories",57.91,8,23.16,486.44,463.28,23.16,2019-02-07,15:06:00,Cash,8.1
115-38-7388,C,Naypyitaw,Member,Female,"Fashion accessories",10.18,8,4.07,85.51,81.44,4.07,2019-03-30,12:51:00,"Credit card",9.5
115-99-4379,B,Mandalay,Member,Female,"Fashion accessories",54.73,7,19.16,402.27,383.11,19.16,2019-03-14,19:02:00,"Credit card",8.5
118-62-1812,C,Naypyitaw,Member,Female,"Home and lifestyle",78.38,4,15.68,329.20,313.52,15.68,2019-03-24,17:56:00,Cash,7.9
120-06-4233,C,Naypyitaw,Normal,Male,"Electronic accessories",30.61,6,9.18,192.84,183.66,9.18,2019-03-12,20:36:00,Cash,9.3
120-54-2248,B,Mandalay,Normal,Female,"Food and beverages",28.86,5,7.22,151.52,144.30,7.22,2019-01-22,18:08:00,"Credit card",8.0
122-61-9553,C,Naypyitaw,Normal,Female,"Electronic accessories",51.32,9,23.09,484.97,461.88,23.09,2019-03-14,19:33:00,Cash,5.6
123-19-1176,A,Yangon,Member,Male,"Health and beauty",58.22,8,23.29,489.05,465.76,23.29,2019-01-27,20:33:00,Ewallet,8.4
123-35-4896,C,Naypyitaw,Normal,Female,"Sports and travel",46.66,9,21.00,440.94,419.94,21.00,2019-02-17,19:11:00,Ewallet,5.3
124-31-1458,A,Yangon,Member,Female,"Electronic accessories",79.59,3,11.94,250.71,238.77,11.94,2019-01-08,14:30:00,Cash,6.6
125-45-2293,A,Yangon,Normal,Female,"Fashion accessories",99.10,6,29.73,624.33,594.60,29.73,2019-01-19,13:11:00,Cash,4.2
